geldi	o gelmek
anlaşmayı imzalamadım	ben anlaşma imzalamak değil
risk aldım	ben risk almak
dışarısı karanlık	dışarı karanlık
başım dönüyor	benim baş dönmek
hepimiz gidiyoruz	biz hepimiz gitmek
okula gitmeyeceğim	ben okul gitmek değil
herkes gidiyor	herkes gitmek
kimi gördün	sen kim görmek ?
yatmaya gidiyorum	ben yatmak gitmek
herkes çıksın	herkes çıkmak
telefonu kapat	sen telefon kapatmak
hayat zordur	hayat zor
amca olacağım	ben amca olmak
hepsini yedi	o hepsi yemek
seninle gitmeyeceğim	ben senin ile gitmek değil
anlıyor musunuz	siz anlamak ?
onları anlamıyorum	ben onlar anlamak değil
şarkı söyledik	biz şarkı söylemek
yalnız hissettim	ben yalnız hissetmek
otobüsü gördüm	ben otobüs görmek
park kalabalıktı	park kalabalık
geri gidiyoruz	biz geri gitmek
yanlış düşünüyorsun	sen yanlış düşünmek
kim kaldı	kim kalmak ?
hızlı sürüyorum	ben hızlı sürmek
senden hoşlanmıyorum	ben sen sevmek değil
arabayı almadım	ben araba almak değil
kutuyu kapat	sen kutu kapatmak
hepsi ıslak	hepsi ıslak
garip hissettim	ben garip hissetmek
öldüğümü düşündüm	ben benim ölmek düşünmek
hayır gitmedim	hayır ben gitmek değil
onlar dışarıda	onlar dışarı orada
anlaşmayı alacağım	ben anlaşma almak
alışverişe gidelim	biz alışveriş gitmek
onlar öldü	onlar ölmek
o gitti	o gitmek
hepsi orada	hepsi orada
oraya gittim	ben oraya gitmek
hayat harika	hayat harika
seninle gitmiyorum	ben senin ile gitmek değil
hepsini istiyorum	ben hepsi istemek
hayat kısa	hayat kısa
anne bağırdı	anne bağırmak
zaman alacak	zaman almak
beni görmediler	onlar ben görmek değil
neden gitmiyorum	ben neden gitmek değil ?
ben gitmedim	ben gitmek değil
dışarı çık	sen dışarı çıkmak
yalnız gidiyoruz	biz yalnız gitmek
geri alıyorum	ben geri almak
eve dönüyorum	ben ev dönmek
mesajı alıyorum	ben mesaj almak
gördüğünde şaşırmıştı	o görmek şaşırmak
hastanede olacağız	biz hastane orada olmak
neden gidiyoruz	biz neden gitmek ?
dışarı çıkacağız	biz dışarı çıkmak
nereye gidiyorum	ben nereye gitmek ?
dışarıda olacağım	ben dışarı orada olmak
okumaktan hoşlanmıyorum	ben okumak hoşlanmak değil
bunu kapat	sen bu kapatmak
içeri gidiyorum	ben içeri gitmek
ne gördün	sen ne görmek ?
dün zordu	dün zor
hayat bu	hayat bu
herkes konuşuyor	herkes konuşmak
komik hissediyorum	ben komik hissetmek
dışarı çıktım	ben dışarı çıkmak
onların hepsini biliyordum	ben onlar hepsi bilmek
yanlış adama soruyorsun	sen yanlış adam sormak
o şimdi hastanede	o şimdi hastane orada
hiç mutlu değilim	ben hiç mutlu olmak değil
avrupada akşam güzeldir	avrupa orada akşam güzel
o babamın ablası	o benim baba abla
arkadaşım televizyonu kapattı	benim arkadaş televizyon kapatmak
ne duymak istiyorsun	sen ne duymak istemek ?
o hayvanları sever	o hayvan onlar sevmek
bunu duymak istemiyorum	ben bu duymak istemek değil
akşam yemeği zamanı	akşam yemek zaman
siz hemen dönüyorsunuz	siz hemen dönmek
pencereleri kapatmayı unutmayın	siz pencere kapatmak unutmak değil
onu hiç duymadım	ben o hiç duymak değil
araba borç aldım	ben araba borç_almak
kapıyı kapatmayı unuttum	ben kapı kapatmak unutmak
film çok güzeldi	film çok güzel
herkes yalan söyler	herkes yalan_söylemek
hepsi bu mu	hepsi bu ?
onu gördün mü	sen görmek o ?
iyi hissetmiyor musun	sen iyi hissetmek değil ?
ailemle evde yaşıyorum	ben benim aile ile ev orada yaşamak
benden yardım istedi	o ben yardım istemek
o kahvaltıyı hazırlıyor	o kahvaltı hazırlamak
sen herkese anlat	sen herkes anlatmak
bu adam iyi	bu adam iyi
biz istediğimizi aldık	biz istek almak
daha iyi hissediyorum	ben daha iyi hissetmek
yarın kasabaya dönüyorum	ben yarın kasaba dönmek
ben kahvaltı pişirdim	ben kahvaltı pişirmek
telefonda amcamla konuştum	ben telefon benim amca ile konuşmak
üniversitemi çok seviyorum	ben benim üniversite çok sevmek
çocuklar hızlı çalışır	çocuk onlar hızlı çalışmak
herkes hayal eder	herkes hayal_etmek
gazete almaya git	sen gazete almak gitmek
arkadaşın televizyonu kapattı	senin arkadaş televizyon kapatmak
pasaportunu almaya git	sen senin pasaport almak gitmek
adam uyuşturucu almış	adam uyuşturucu almak
müşteri ne aldı	müşteri ne almak ?
biz kahvaltı yapıyoruz	biz kahvaltı yapmak
yarın sinemaya gideceğim	ben yarın sinema gitmek
ben hızlı konuşuyorum	ben hızlı konuşmak
hiç kimse göremez	hiç_kimse görmek değil
artık kahve içmiyorum	ben artık kahve içmek değil
mutfak çok sıcak	mutfak çok sıcak
hiçbir şey duymadım	ben hiç bir_şey duymak değil
akşam yemeği pişiriyorum	ben akşam yemek_pişirmek
bir şey anlamıyorum	ben bir_şey anlamak değil
herkese söylendi mi	o herkes söylemek ?
adamın adı ne	adam onun ad ne ?
dün siz geldiniz	dün siz gelmek
onlar dün yüzdüler	onlar dün yüzmek
gidince ona soracağım	ben gitmek o sormak
akşam yemeği yapıyorum	ben akşam yemek yapmak
dün onunla karşılaştım	ben dün onun ile karşılaşmak
şimdi ne düşünüyorsun	sen şimdi ne düşünmek ?
onlar şimdi anlıyor	onlar şimdi anlamak
biraz alışveriş yaptım	ben biraz alışveriş yapmak
ben bunu anlamadım	ben bu anlamak değil
çok üşümüş hissetmiyorum	ben çok üşümek hissetmek değil
ben paramı kaybettim	ben benim para kaybetmek
yaşlı bir adam	yaşlı bir adam
ne kadar tuhaf	ne kadar tuhaf
ben bankada çalışıyorum	ben banka orada çalışmak
ben iyi hissetmedim	ben iyi hissetmek değil
senin geldiğini duymadım	ben senin gelmek duymak değil
bu yardım edebilir	bu yardım_etmek ?
avrupadaki amcamla kalacağım	ben avrupa orada benim amca ile kalmak
oğlunu almaya git	sen senin oğul almak gitmek
ben öyle düşündüm	ben öyle düşünmek
arkadaşı ailesiyle birlikte	onun arkadaş onun aile ile birlikte
onların hepsini istiyorum	ben onlar hepsi istemek
onu yapmayı düşündüm	ben o yapmak düşünmek
abisi arabamı alacak	onun abi benim araba almak
biletleri almayı unuttum	ben bilet almak unutmak
iyi hissetmiyor musunuz	siz iyi hissetmek değil ?
aile olmamızı isterim	ben bizim aile olmak istemek
alışveriş çantam kırıldı	benim alışveriş çanta kırılmak
o işten atılacak	o iş atılmak
alışveriş merkezine gittim	ben alışveriş merkez gitmek
bence anlaşmayı yapmalısınız	siz bence anlaşma yapmak
meşgul bir adam	meşgul bir adam
abisi yardım alacak	onun abi yardım almak
arkadaşım bir anne	benim arkadaş bir anne
ben makale yazıyorum	ben makale yazmak
onlar allaha inanırlar	onlar allah inanmak
o suyu içmedim	ben o su içmek değil
ev çok sıcak	ev çok sıcak
herkese iyi akşamlar	herkes iyi_akşamlar
pencereyi kapattın mı	sen pencere kapatmak ?
fikrinizi almak istiyorum	ben sizin fikir almak istemek
posta ile gönder	sen posta ile göndermek
çocuğu çok yaramazdı	onun çocuk çok yaramaz
kız kardeşim yok	benim kız kardeş yok
bir hayalet görmedim	ben bir hayalet görmek değil
iyi geceler anne	iyi_geceler anne
çok başım döndü	benim baş çok dönmek
onlar alışverişe gitti	onlar alışveriş gitmek
biz bavulu kapattık	biz bavul kapatmak
araba kapısını kapattım	ben araba kapı kapatmak
bu herkese olabilir	bu herkes olmak
yaptığımdan zevk alıyorum	ben benim yapmak zevk_almak
ne kadar sevimli	ne kadar sevimli
şimdi geri döndü	o şimdi geri dönmek
o benimle ilgilendi	o benim ile ilgilenmek
içki içmeyi bırakmalısın	sen içki_içmek bırakmak
hayat kaba olabilir	hayat kaba olmak
sen onu gördün	sen o görmek
bir fare gördüm	ben bir fare görmek
arkadaşı hastanede değildir	onun arkadaş hastane orada değil
allaha inanır mısınız	siz allah inanmak ?
kardan nefret ederim	ben kar nefret_etmek
onu hastaneye götür	sen o hastane götürmek
amcam öyle düşünüyor	benim amca öyle düşünmek
her şeyi al	sen her_şey almak
iki kişi güldü	iki kişi gülmek
hiç kahve içmiyorum	ben hiç kahve içmek değil
o kaldı mı	o kalmak ?
bunu hiç anlamıyorum	ben bu hiç anlamak değil
bazen başım dönüyor	bazen benim baş dönmek
beni hemen ara	sen ben hemen aramak
sizinle iletişimde kalalım	ben sizin ile iletişim kalmak
biz hiç tanışmadık	biz hiç tanışmak değil
harika hissetmiyor musunuz	siz harika hissetmek değil ?
araba benim değil	araba benim değil
kapıyı kapattın mı	sen kapı kapatmak ?
beni anlıyor musunuz	siz ben anlamak ?
annem okulda bekliyor	benim anne okul orada beklemek
iki adam güldü	iki adam gülmek
bir bira alacağım	ben bir bira almak
o hızlı konuşur	o hızlı konuşmak
herkese nazik olmalısın	sen herkes nazik olmak
alışveriş merkezine gidiyoruz	biz alışveriş merkez gitmek
seni duymuş olamaz	o sen duymak olmak değil
hardal almayı unuttum	ben hardal almak unutmak
hepsini yaptım mı	ben hepsi yapmak ?
o hızlı sayar	o hızlı saymak
anne çocuğuna vuruyor	anne kendi çocuk vurmak
biz ne aldık	biz ne almak ?
alışverişe gittin mi	sen alışveriş gitmek ?
onu görmek istiyoruz	biz o görmek istemek
ne kadar acı	ne kadar acı
amcam gitar çalar	benim amca gitar çalmak
anlaşmayı görmek isterim	ben anlaşma görmek istemek
bunu kim anlıyor	bu kim anlamak ?
oğlum köpekleri anlıyor	benim oğul köpek onlar anlamak
kim öyle düşünüyor	kim öyle düşünmek ?
ben neyi anlamıyorum	ben ne anlamak değil ?
sigarayı hiç sevmiyorum	ben sigara hiç sevmek değil
o çok hızlı	o çok hızlı
erkek kardeşim yaptı	benim erkek kardeş yapmak
bu kamera pahalıydı	bu kamera pahalı
ben ailemle ilgilenirim	ben benim aile ile ilgilenmek
siz aile gibisiniz	siz aile gibi
arkadaşımla mutfakta oturduk	biz benim arkadaş ile mutfak orada oturmak
hiç şikayet duymadım	ben hiç şikayet duymak değil
ben seni anlamadım	ben sen anlamak değil
onlar dışarı gittiler	onlar dışarı gitmek
sabah kahvaltı hazırlıyorlar	onlar sabah kahvaltı hazırlamak
geri dönüyor muyuz	biz geri dönmek ?
onu duymak istemiyorum	ben o duymak istemek değil
sen geri döndün	sen geri dönmek
düşündüğünden daha yaşlıyım	ben senin düşünmek daha yaşlı
köpeklerden nefret ederim	ben köpek onlar nefret_etmek
bir kamera getir	sen bir kamera getirmek
kendimi rahat hissetmedim	ben kendim rahat hissetmek değil
eve dönerken oyalanma	sen ev dönmek oyalanmak değil
yardım edebilir miyim	ben yardım_etmek ?
yardım almaya git	sen yardım almak gitmek
bilgisayarımı geri alamıyorum	ben benim bilgisayar geri almak değil
herkes şarkı söyleyebilir	herkes şarkı söylemek
ağzımı bozacağım ama	ben benim ağız bozmak ama
işe ihtiyacım vardı	benim iş ihtiyaç var
kendimi suçlu hissetmiyorum	kendim suçlu hissetmek değil
onların hepsi öldüler	onlar hepsi ölmek
kendi düşen ağlamaz	kendi düşmek ağlamak değil
erkek kardeşim zengindir	benim erkek kardeş zengin
ben geri dönüyorum	ben geri dönmek
eşine araba alacak	o onun eş araba almak
ışığı neden kapattın	sen ışık neden kapatmak ?
bir kamera aldım	ben bir kamera almak
sana bunları aldım	ben sana bunlar almak
onu görmek istiyorum	ben o görmek istemek
beni anlıyor musun	sen ben anlamak ?
ben hep kaybederim	ben hep kaybetmek
gerçeği duymak istiyorum	ben gerçek duymak istemek
o hatayı düzelttim	ben o hata düzeltmek
dün çay içmedim	ben dün çay içmek değil
ona kadar saydın	sen ona kadar saymak
bak uçak kalkıyor	sen bakmak uçak kalkmak
onlar ne düşünüyor	onlar ne düşünmek ?
müdürün adresi nedir	müdür onun adres ne ?
bu çözüm değil	bu çözüm değil
hep meşgul görünüyor	o hep meşgul görünmek
o hastayla ilgilendi	o hasta ile ilgilenmek
kimseyi gördün mü	sen kimse görmek ?
onu duymak istiyorum	ben o duymak istemek
hayat kolay değil	hayat kolay değil
hediyeleri kabul ederim	ben hediye kabul_etmek
o koltuğundan kalktı	o onun koltuk kalkmak
otobüs çok kalabalıktı	otobüs çok kalabalık
ben onu anlamıyorum	ben o anlamak değil
onu dün gördüm	ben o dün görmek
hemşire hastayla ilgilendi	hemşire hasta ile ilgilenmek
arkadaşın müzikten anlıyor	senin arkadaş müzik anlamak
bu işten hoşlanmıyorum	ben bu iş hoşlanmak değil
kıyafet alacak mısın	sen kıyafet almak ?
hiç ağrı hissetmedim	ben hiç ağrı hissetmek değil
onların hepsini biliyorum	ben onlar hepsi bilmek
öğretmen okula gelmedi	öğretmen okul gelmek değil
kan kokusu alıyorum	ben kan koku almak
o planla ilgilendi	o plan ilgilenmek
bir şey hazırlıyor	o bir_şey hazırlamak
ben yorgun hissetmiyorum	ben yorgun hissetmek değil
o yavaşça kalktı	o yavaş kalkmak
ben hızlı konuşurum	ben hızlı konuşmak
iyi bir adam	iyi bir adam
eve dönerken oyalanmayın	siz ev dönmek oyalanmak değil
siz kitabı kapattınız	siz kitap kapatmak
odama geri dönüyorum	ben benim oda geri dönmek
çocuk geri döndü	çocuk geri dönmek
ben hep eğlenirim	ben hep eğlenmek
bir aile istiyorum	ben bir aile istemek
biz aile gibiyiz	biz aile gibi
o eve dönüyor	o ev dönmek
ışıkları kapatmayı unuttum	ben ışık kapatmak unutmak
seni görmek istiyorum	ben sen görmek istemek
akşam yemeği yiyelim	biz akşam yemek yemek
bir şey almadım	ben bir_şey almak değil
onun yaptığını düşünüyorum	ben onun yapmak düşünmek
benim ailem var	benim aile var
o çocuklarla ilgilendi	o çocuk onlar ile ilgilenmek
seni görmek istedim	ben sen görmek istemek
biraz yardım aldım	ben biraz yardım almak
git dışarıda bekle	sen gitmek dışarı orada beklemek
üç haftadır hastayım	ben üç hafta hasta
o adama güvenmemelisin	sen o adam güvenmek değil
kendimi iyi hissettim	ben kendim iyi hissetmek
ben programı okudum	ben program okumak
adam çok kızdı	adam çok kızmak
bu adamları tanıyorum	ben bu adam onlar tanımak
hava şimdi soğuk	hava şimdi soğuk
burada dışarısı sıcak	burada dışarı sıcak
dışarıda alışveriş yapıyordum	ben dışarı orada alışveriş yapmak
aslanlar hızlı koşarlar	aslan onlar hızlı koşmak
kimse ablamı görmedi	kimse benim abla görmek değil
kız kardeşim var	benim kız kardeş var
çok geç kaldım	ben çok geç kalmak
çok fazla almadım	ben çok fazla almak değil
hava soğuk değil	hava soğuk değil
bence anlaşmayı yapmalısın	sen bence anlaşma yapmak
bu kadın kim	bu kadın kim ?
anlaşmayı kabul etmedim	ben anlaşma kabul_etmek değil
duman kokusu alıyorum	ben duman koku almak
kitabı yere düşürdü	o kitap yer düşürmek
onu gördükçe gururlanıyorum	ben o görmek gururlanmak
onun öldüğünü gördüm	ben onun ölmek görmek
ben hasta oldum	ben hasta_olmak
ilaç vaktin geldi	senin ilaç vakit gelmek
ben kadın değilim	ben kadın değil
ben çok içmedim	ben çok içmek değil
araba ile geldi	o araba ile gelmek
neden birlikte geldiniz	siz neden birlikte gelmek ?
kahvaltı hazır mı	kahvaltı hazır ?
benimle hastaneye gel	sen benim ile hastane gelmek
arkadaşım anlaşmayı bozdu	benim arkadaş anlaşma bozmak
o ekmek pişirdi	o ekmek pişirmek
bir şey hissetmedi	o bir_şey hissetmek değil
dün arkadaşımı gördüm	ben dün benim arkadaş görmek
o bir kadın	o bir kadın
arkadaşım öyle düşünüyor	benim arkadaş öyle düşünmek
seyirci çok kalabalıktı	seyirci çok kalabalık
birini gördün mü	sen biri görmek ?
onlar onu görmediler	onlar o görmek değil
onların hepsi biliyorlardı	onlar hepsi bilmek
ben hazır hissediyorum	ben hazır hissetmek
tartışmaktan nefret ederim	ben tartışmak nefret_etmek
senin kardeşin var	senin kardeş var
annem hastanede mi	benim anne hastane orada olmak ?
alışveriş merkezine gitti	o alışveriş merkez gitmek
hayat zor olabilir	hayat zor olmak
benim ablam nişanlandı	benim abla nişanlanmak
eve geri dönüyoruz	biz ev geri dönmek
ışığı kapatmayı unutma	sen ışık kapatmak unutmak değil
tren daha kalabalıktı	tren daha kalabalık
hiç ağrı hissetmedi	o hiç ağrı hissetmek değil
arkadaşımı işten çıkardım	ben benim arkadaş iş çıkarmak
ne kadar romantik	ne kadar romantik
arkadaşını işe aldım	ben senin arkadaş iş almak
dışarı çıktın mı	sen dışarı çıkmak ?
kardeşimin gittiğini duymadım	ben benim kardeş gitmek duymak değil
ışıkları kapatmayı unutma	sen ışık kapatmak unutmak değil
o dışarıya gitmedi	o dışarı gitmek değil
biraz almaya gideceğim	ben biraz almak gitmek
akşamları oğlumla geçiriyorum	ben akşam benim oğul ile geçirmek
onlar bizi görmediler	onlar biz görmek değil
bunu satmak istiyorum	ben bu satmak istemek
o içmeyi sever	o içmek sevmek
erkek kardeşim nerede	benim erkek kardeş nerede ?
hiç ekmek almadım	ben hiç ekmek almak değil
çok zor geldi	o çok zor olmak
yardım edebilir misin	sen yardım_etmek ?
ancak o olmadı	ancak o olmak değil
paramı geri alamıyorum	ben benim para geri almak değil
bir içki alacağım	ben bir içki almak
onların hepsi oturdular	onlar hepsi oturmak
o gerçekten kalabalıktı	o gerçek kalabalık
onlar ne aldılar	onlar ne almak ?
ben çok hastayım	ben çok hasta
nasıl olduğunu anlamıyorum	ben nasıl olmak anlamak değil
onu anlıyor musun	sen o anlamak ?
kedileri anlıyor musun	sen kedi onlar anlamak ?
ben harika hissetmedim	ben harika hissetmek değil
ben kitap okudum	ben kitap okumak
dün çocuklarla ilgilendi	o dün çocuk onlar ile ilgilenmek
bütün ailem iyi	benim bütün aile iyi
ben dışarı çıkmalıyım	ben dışarı çıkmak
her olasılığı farkettiler	onlar her olasılık farketmek
ablam yazmada iyidir	benim abla yazmak iyi
o telefonu kapattı	o telefon kapatmak
işe giriyor musun	sen iş girmek ?
ne kadar heyecanlı	ne kadar heyecan
o kapağı kapattı	o kapak kapatmak
kasabaya geri dönüyorum	ben kasaba geri dönmek
bir bilet alacağım	ben bir bilet almak
rüzgar kapıyı kapattı	rüzgar kapı kapatmak
hiç kimse sormadı	hiç_kimse sormak değil
dışarı çıkmayı seviyorum	ben dışarı çıkmak sevmek
ben öfkeli hissetmiyorum	ben öfke hissetmek değil
hiç cevap almadım	ben hiç cevap almak değil
kuzeni anlaşmayı imzalamadı	onun kuzen anlaşma imzalamak değil
ben herkese kızgındım	ben herkes kızgın
birbirimiz çok seviyorduk	biz birbiri çok sevmek
o kahvaltı pişirdi	o kahvaltı pişirmek
çok hasta olmuşsun	sen çok hasta_olmak
o ağzını kapattı	o onun ağız kapatmak
adamın atladığını gördüm	ben adam onun atlamak görmek
yanlış adama sinirlendim	ben yanlış adam sinirlenmek
kahvaltı ister misin	sen kahvaltı istemek ?
biz hep buradayız	biz hep burada
ben adama baktım	ben o adam bakmak
oğlun anlıyor mu	senin oğul anlamak ?
dışarı çıkalım mı	biz dışarı çıkmak ?
ne yaptığımı düşünüyorsun	sen benim ne yapmak düşünmek ?
bu adam kimdir	bu adam kim ?
o sessiz kaldı	o sessiz kalmak
market çok kalabalıktı	market çok kalabalık
birisi parasını kaybetmiş	biri para kaybetmek
o geç kalktı	o geç kalkmak
o benim ablam	o benim abla
sonucu görünce şaşırdı	o sonuç görmek şaşırmak
kendimi yalnız hissediyorum	ben kendim yalnız hissetmek
çok iyi çalışıyorlar	onlar çok iyi çalışmak
her şey hazır	her_şey hazır
dün seni gördüm	ben dün sen görmek
dışarısı sürekli soğuk	dışarı sürekli soğuk
o bebeğiyle ilgilendi	o onun bebek ile ilgilenmek
onu beleşe aldım	ben o beleş almak
biz bunu almadık	biz bu almak değil
ben sürprizlerden hoşlanmıyorum	ben sürpriz hoşlanmak değil
kalabalık yine alkışladı	kalabalık yine alkış
ciddi olduğumuzu düşünüyorsun	sen bizim ciddi olmak düşünmek
hemen eve gidelim	biz hemen ev gitmek
benimle dışarıya gel	sen benim ile dışarı gelmek
tren çok kalabalıktı	tren çok kalabalık
o bebekle ilgilendi	o bebek ile ilgilenmek
hiç öyle hissetmedim	ben hiç öyle hissetmek değil
ben kilo alıyorum	ben kilo almak
arabanı almaya git	sen kendi araba almak gitmek
ben adresi istiyorum	ben adres istemek
biraz ilaç aldı	o biraz ilaç almak
çok mutlu oldum	ben çok mutlu olmak
ben herkese söylemedim	ben herkes söylemek değil
bir tane almadım	ben bir tane almak değil
o kahvaltı yedi	o kahvaltı yemek
bana göre haklısın	sen bana göre haklı
onun başı dönüyor	onun baş dönmek
çok hasta oldum	ben çok hasta_olmak
kız kardeşim güzeldir	benim kız kardeş güzel
daha iyi hissetti	o daha iyi hissetmek
bu çok hızlı	bu çok hızlı
onların hepsini gördüm	ben onlar hepsi görmek
biz allaha inanıyoruz	biz allah inanmak
bunu hissetmiyor musun	sen bu hissetmek değil ?
daha kötüsünü gördün	sen daha kötü görmek
