iyi geçti mi	iyi geçmek ?
sen çocukları seversin değil mi	sen çocuk onlar sevmek ?
bunu istemiyor musun	sen bu istemek ?
çocuklar nasıl	çocuk x2 nasıl ?
kimse onu sevmez çünkü o yalan söylüyor	kimse o sevmek değil çünkü o yalan_söylemek
orada duran erkek çocuğunun adını biliyor musun	orada erkek çocuk durmak sen onun ad bilmek ?
hiç kimse gelmek istemiyor	hiç_kimse gelmek istemek değil
biz trenle gittik	biz tren ile gitmek
ona bir oyuncak bebek gönderdim	ben ona bir oyuncak bebek göndermek
gecen nasıl geçti	senin gece nasıl geçmek ?
kimse beni görmedi mi	kimse ben görmek değil ?
hangi şapka seninkidir	hangi şapka senin ?
o seni incitmek istemiyordu	o üzmek istemek değil sen
o nasıl yüzeceğini öğrendi	o nasıl yüzmek öğrenmek ?
kimse bir şey görmedi	kimse bir_şey görmek değil
okyanusu hiç görmemiş birini tanıyorum	ben okyanus hiç görmek değil biri tanımak
dışarı çıkmadan önce kapıları kapatmayı unutma	sen dışarı çıkmak önce kapı kapatmak unutmak değil
şapkanı çıkar	sen senin şapka çıkarmak
annem süt almayı unuttu	benim anne süt almak unutmak
en iyi arkadaşımla her_şey için konuşabilirim	ben benim en iyi arkadaş ile her_şey için konuşmak
bana göre haklısın	sen bana göre haklı
bu bir komedi filmi mi	bu bir komedi film ?
teyzem araba alacak mı	benim teyze araba almak ?
ayakta duruyorum	ben ayakta durmak
o bizimle yaşadı	o bizim ile yaşamak
onlar satılık bir evleri olduğunu reklam verdiler	onlar satılık bir ev olmak reklam vermek
yalnız yürümeyi seviyorum	ben yalnız yürümek sevmek
sadece ona söyledim	ben sadece ona söylemek
o izlemek istiyor	o izlemek istemek
onlar arabamdaki lastiklerin yerini değiştirdiler	onlar benim araba lastik x2 yer değiştirmek
çin yemeklerini çok sık yemiyorum	ben çin yemek çok sürekli yemek değil
ben kuşları izlemeyi seviyorum	ben kuş izlemek sevmek
ailemle olmalıyım	ben benim aile ile olmak
film çok güzeldi	film çok güzel
ben yalancı değilim	ben yalan x3 değil
bana bunu veren kişi sensin	sen bana bu vermek kişi
herkesin önünde rezalet çıkarmayın	siz herkes önünde rezalet çıkarmak değil
sizin eve gidiyorum	ben sizin ev gitmek
şimdi ilgimi çekti	o şimdi benim ilgi çekmek
onun yaptığı korkunçtu	onun yapmak korkunç
bize öğle yemeği hazırladım	ben bize öğle yemek hazırlamak
yardım etmek istedi	o yardım_etmek istemek
doğru mudur	o doğru ?
o ne kadar geç kaldı	o ne kadar geç_kalmak ?
keşke ailemle fazla zaman geçirebilsem	ben keşke benim aile ile fazla zaman_geçirmek
ondan şüphelenmiyorum	ben o şüphelenmek
resim çizmeyi sever misin	sen resim çizmek sevmek ?
birisini mi arıyorsun	sen biri aramak ?
gidip onları alacağım	ben gitmek onlar almak
onun evinin boyanması gerek	onun ev boyamak lazım
burada eğlendim	ben burada eğlenmek
burnumdan nefes alamıyorum	ben benim burun nefes almak değil
bulaşık yıkamak istiyordum	ben bulaşık yıkamak istemek
ben yorgun hissetmiyorum	ben yorgun hissetmek değil
onunla yürüyüşe çıkacağım	ben onun ile yürümek çıkmak
beni görmediler	onlar ben görmek değil
ona iş verdim	ben ona iş vermek
suyumuz bitiyor	bizim su bitmek
segilim beni gördüğünde bana yaklaştı	benim sevgili ben görmek bana yaklaşmak
senin mektubunu okuduktan sonra endişelendi	o senin mektup okumak sonra endişelenmek
o hoş bir insan	o hoş bir insan
onu ona veren kişi bendim	o ona vermek kişi ben
o onu aradı	o o aramak
yaralandığımı bilmiyordum	ben benim yaralanmak bilmek değil
o bunu istiyor	o bu istemek
herkes katılabilir	herkes katılmak
ben bir aşçıyım	ben bir aşçı
balık yemeyi hiç sevmiyorum	ben balık yemek hiç sevmek değil
kılıcı çekti	o kılıç çekmek
japonlar çok balık yerler mi	japon onlar çok balık yemek ?
ben onun doğru olmadığını bilmiyorum	ben onun doğru olmak değil bilmek değil
eve vardı	o ev varmak
geçen hafta bir partide onunla tanıştım	ben geçen_hafta bir parti orada onun ile tanışmak
onun anne ve babasıyla anlaşamıyorum	ben onun anne ve baba ile anlaşmak değil
yaşım konusunda erkek arkadaşıma yalan söyledim	ben benim yaş konu benim erkek arkadaş yalan_söylemek
iyi olmak istiyordu	o iyi olmak istemek
bazı balıklar nehirlerde yaşar diğerleri denizde	bazı balık x2 nehir yaşamak diğer deniz orada
dün gece tanıştık	biz dün gece tanışmak
biz giderken benim gelmem gerekiyor mu	biz gitmek benim gelmek gerekli ?
evimizin dışında park etmiş bir polis arabası var	bir polis araba bizim ev dış park_etmek
bunun için düşündüm	ben bu için düşünmek
izlemek eğlenceliydi	izlemek eğlence
bana onu nasıl yapacağımı göster	sen bana o nasıl yapmak göstermek
sana inanmak istiyorum	ben sana inanmak istemek
onun arkadaşlarının hepsi bana güldü	onun arkadaş hepsi bana gülmek
şu ana kadar bir sorun olmamıştır	şu an kadar bir sorun olmak değil
aldığım aynı cevabı aldın mı	sen benim almak aynı cevap almak ?
ben polise haber verdim	ben polis haber_vermek
onlar hastaneye gittiler	onlar hastane gitmek
o asla annesini dinlemez	o asla onun anne dinlemek değil
hasta adamın hayatı tehlikede	hasta adam onun hayat tehlike
doğru yolda mıyım	ben doğru yol orada ?
ankara'da çalıştım	ben ankara orada çalışmak
ben onun çalışmasını izledim	ben onun çalışmak izlemek
ben konuşmak istiyordum	ben konuşmak istemek
arkadaşım ve ben birlikte gittik	benim arkadaş ve ben birlikte gitmek
görüyorum	ben görmek
gidip bakacağım	ben gitmek bakmak
daha iyi hissetti	o daha iyi hissetmek
bu iyiydi	bu iyi
herkese yardım ettim	ben herkes yardım_etmek
mezun olduktan sonra ne yapmak istiyorsun	sen mezun olmak sonra ne yapmak istemek ?
biz yürüyeceğiz	biz yürümek
insanlar yemek yemekten hoşlanır	insan onlar yemek yemek hoşlanmak
bu yerden her zaman nefret ettim	ben bu yer her zaman nefret
sizin pilin gücü düşük	sizin pil güç düşük
dışarı çıktın mı	sen dışarı çıkmak ?
bu duvarda bir çatlak var	bu duvar üstünde bir çatlak var
o ve ben öğretmenler	o ve ben öğretmen
bunu sen yaptın	bu sen yapmak
o çalışıyor gibi değil mi	o çalışmak gibi değil ?
sende bizimle gideceksin değil mi	sen bizim ile gitmek ?
yarın havanın iyi olacağını düşünüyor musun	sen yarın hava güzel olmak düşünmek ?
ne kadar derin	ne kadar derin
yardım yolda	sen yardım yollamak
onun mavi gözleri var	onun mavi göz var
neden ışıkları kapattın	sen neden ışık kapatmak ?
ağabeyim işe giderken arkadaşımın evinin yanından geçer	benim abi iş gitmek benim arkadaş ev yanında geçmek
bu sadece bir telefon	bu sadece bir telefon
bahse girerim o şaşırdı	ben bahis girmek o şaşırmak
yerde kal	sen yer orada kalmak
bana bunu nasıl yapacağımı göster	sen bana bu nasıl yapmak göstermek
birkaç sandviç ekmeği alacağım	ben birkaç sandviç ekmek almak
ev ödevim var	benim ödev var
siz çok yorulmuşsunuz	siz çok yorulmak
kızım yalnız bir anne	benim kız yalnız bir anne
sen yakında üniversiteye gideceksin	sen yakında üniversite gitmek
akşam yemeğini ben öderim	akşam yemek ben ödemek
ben oraya gitmedim	ben oraya gitmek değil
denize düştü	o deniz düşmek
aptal mısın	sen aptal ?
hırsız çocuğu dolaba kapattı	hırsız dolap kapatmak çocuk
o teyzesinin evinde kaldı	o onun teyze ev orada kalmak
sadece bana bildiğin her şeyi söyle	sen sadece bana bilmek her_şey söylemek
sana başka ne gösterebilirim	ben sana başka ne göstermek ?
seninle konuşmalıyım	ben senin ile konuşmak
kimse sana inanmak istemedi	kimse sana inanmak istemek değil
ben bekledim	ben beklemek
amcam bir apartman dairesinde yaşamaktadır	benim amca bir apartman daire orada yaşamak
elimi sıkmayı reddetti	o benim el sıkmak kabul_etmek değil
yürüyüşe çıktım	ben yürümek çıkmak
evlenmek isteyip istemediğimi bilmiyorum	ben bilmek değil evlenmek istemek ya_da istemek değil
gelmiyor musunuz	siz gelmek değil ?
yataktan çık	sen yatak orada çıkmak
çok gazete okumam	ben çok gazete okumak değil
o haberleri çok iyi almadı	o haber çok iyi almak değil
dışarı çıkmalıyım	ben dışarı çıkmak
sarhoş hissetti	o sarhoş hissetmek
ne kadar süre alacak	ne kadar süre almak ?
o benim odama girdi	o benim oda girmek
yurdumu özledim	ben benim yurt özlemek
aradığın kişinin ben olduğumu düşündüm	ben senin aramak kişi ben olmak düşünmek
bitirdim	ben bitirmek
o bir yalan söylemiş olabilir	o bir yalan_söylemek olmak
o şimdi televizyon izliyor	o şimdi televizyon izlemek
onun başka bir oğlu var	onun başka bir oğul var
bu çiçekleri dikti	o bu çiçek x2 dikmek
ben onu bir arkadaş olarak buldum	ben o bir arkadaş olmak bulmak
eskisi kadar ağır değilim	ben eski kadar ağır değil
o kaybettiği kitabı bulacak kadar şanslıydı	o kaybetmek kitap bulmak kadar şanslı
onu uzun süredir tanıyor musun	sen o uzun süre tanımak ?
lütfen eve girmeden önce ayakkabılarınızı çıkarın	lütfen siz ev girmek önce ayakkabı çıkarmak
o iyi bir baba olabilir	o iyi bir baba olmak
cep telefonum çalıyor	ben cep_telefonu çalmak
amcamın evinde bir hafta kalmak	ben benim amca onun ev orada bir hafta kalmak
biz çıktık	biz çıkmak
ilk o bana vurdu	ilk o bana vurmak
babam bir kamera aldı	benim baba bir kamera almak
ben senin şoförünüm	ben senin şoför
babam ilk arabamı aldı	benim baba ilk benim araba almak
onların buraya gelmesini söyle	sen onların bura gelmek söylemek
onun uyanık olduğundan eminim	ben onun uyanık olmak emin
soğuk aldım	ben soğuk almak
seni unutmadım	ben sen unutmak değil
o sigara içmeyen biri	o sigara içmek biri ?
o bana kim olduğumu sordu	o bana benim kim olmak sormak
gitmeme izin verdi	o benim gitmek izin_vermek
o bir zaman sorusu	o bir zaman soru
bulduğum her fırsatta çin yemeği yerim	ben her fırsat bulmak çin yemek yemek
biz çok fazla başardık	biz çok fazla başarmak
onu kaybetmiş olmalıyım	ben o kaybetmek olmak
ben bilgisayar kullanmayı çok iyi biliyorum	ben bilgisayar kullanmak çok iyi bilmek
japon yemekleri yerim	ben japon yemek x2 yemek
okuldaki kızımı almaya gitmek için toplantıyı terk etmek istiyorum	ben okul orada benim kız almak için toplantı terk_etmek istemek
çok çalışıyorsun	sen çok çalışmak
o yürüyebiliyor mu	o yürümek ?
onun ingilizce öğretmeni kimdir	onun ingilizce öğretmen kim ?
marketten ekmek aldıktan sonra babasını aramadım	ben market orada ekmek almak sonra onun baba aramak değil
bir yol biliyorum	ben bir yol bilmek
en sevdiğim tv programı iptal oldu	benim en sevmek televizyon program iptal olmak
yarın bileceğim	ben yarın bilmek
o seni uyardı	o sen uyarmak
galiba gitsem iyi olur	galiba ben gitmek iyi olmak
sanırım her ikimiz de bunun cevabını biliyoruz	ben sanmak biz bu cevap bilmek
zor iş şimdi başlıyor	zor iş şimdi başlamak
ben bir dergi okuyorum	ben bir dergi okumak
çok öğrendim	ben çok öğrenmek
o bir kaza mıydı	o bir kaza ?
o üniversitede bir erkek öğrenci	o üniversite bir erkek öğrenci
o bana yüzmeyi öğretiyor	o bana yüzmek öğretmek
o şekilde gidin	siz o şekil gitmek
her zaman çantasında bir harita ve pusula taşır	o her zaman onun çanta orada bir harita ve pusula taşımak
çocuğunu korumak için hayatını riske attı	o onun çocuk korumak için kendi hayat risk atmak
şehir dışındaydım	ben şehir dış
bir adamın odaya girdiğini gördüm	bir adam onun oda girmek görmek
bugün kitap okudum	ben bugün kitap okumak
bunu herkes gördü	bu herkes görmek ?
annenin bir kahve dükkanı vardır	senin anne bir kahve dükkan var
bir doktora danıştım	ben bir doktor danışmak
ondan çok şey öğrendim	ben o çok şey öğrenmek
gece yürümeyi severim	ben gece yürümek sevmek
o atağa yol gösterdi	o atak yol göstermek
arabamı burada park edebilir miyim	ben benim araba burada park_etmek ?
o bir sandviç yiyordu	o bir sandviç yemek
iyi müzik dinlemeyi severim	ben iyi müzik dinlemek sevmek
o ne kadar kazanıyor	o ne_kadar para kazanmak ?
senin birçok telefonun var	senin birçok telefon var
ben bir üniversitede çalışırım	ben bir üniversite çalışmak
ben yiyecekleri hiç çöpe atmam	ben çok yiyecek
senin telefonunu ödünç alabilir miyim	ben senin telefon ödün almak ?
neyin yanlış olduğunu sordum	ben ne yanlış olmak sormak
yorgun hissediyorum	ben yorgun hissetmek
annem mutfakta yemek hazırlıyor	benim anne mutfak orada yemek hazırlamak
o için biraz üzülüyorum	ben o için biraz üzülmek
onlar dün bizi gördüler	onlar dün biz görmek
her şeyi odamda bıraktım	ben her_şey benim oda orada bırakmak
hiç kilo vermedim	ben hiç kilo vermek değil
o bekliyor	o beklemek
kitabını kaybettiğinden emin misin	sen senin kitap kaybetmek emin ?
ne yapıyordun baba	sen ne yapmak baba
biz yola çıktık	biz yola_çıkmak
onu izlemeyi unuttum	ben o izlemek unutmak
hiç ekmek almadım	ben hiç ekmek almak değil
bazı hayvanlar yavrularını yerler	bazı hayvan x2 onların yavru yemek
o benimle tanışmak istedi	o benim ile tanışmak istemek
bunu yapacağımı söyledim	ben bu yapmak söylemek
onun için ne düşünüyorsun	sen onun için ne düşünmek ?
inanmak zor	inanmak zor
o yeni bir resim mi	o yeni bir resim ?
güldü mü	o gülmek ?
ben bir üniversite profesörüyüm	ben bir üniversite profesör
not alıyordum	ben not yazmak
yürüyerek kaçtı	o yürümek kaçmak
ben eve gittim	ben ev gitmek
bu iyi çıktı	bu iyi çıkmak
bahar geldi	bahar gelmek
yumurtalar istiyorum	ben yumurta istemek
sınavda kopya çekmiş olabileceğini düşünüyorum	o sınav kopya çekmek olmak ben düşünmek
babamla çok gurur duyuyorum	ben benim baba ile çok gurur_duymak
tabii ki endişelendim	ben tabi endişelenmek
çok az ders çalışırım	ben çok az ders çalışmak
o kötü gösterdi	o kötü göstermek
güller çiçek açmışlar	gül x2 çiçek açmak
ben son gördüğümde o şişmandı	ben son görmek o şişman
bir kamera almak istiyorum	ben bir kamera almak istemek
o içki içmeyi sever	o içki_içmek sevmek
ben sadece buna inanmak istemiyorum	ben sadece bu inanmak istemek değil
tv izlemeyi sever	o televizyon izlemek sevmek
benim yaptığım bu değil	benim yapmak bu değil
sen bir üniversite mezunu musun	sen bir üniversite mezun ?
sen dizi izliyor musun	sen dizi izlemek ?
en yakın arkadaşıma her şeyi söylüyorum	ben benim en yakın arkadaş her_şey söylemek
daha fazla görmek istiyorum	ben daha fazla görmek istemek
az önce durdu	o az önce durmak
bir ceket istedim	ben bir ceket istemek
yarım saat önce odamı temizlemeyi bitirdim	ben yarım saat önce benim oda temizlemek bitirmek
annem ben çocukken öldü	ben önce çocuk olmak benim anne ölmek
durdurmaya çalışmadım	ben durdurmak çalışmak değil
denizde yüzmeye gittik	o deniz yüzmek gitmek
onu istiyorum	ben o istemek
annemle beraber yemek yapıyoruz	biz benim anne ile beraber yemek yapmak
yağmur mevsimi başladı	yağmur mevsim başlamak
öğrenciler memnundu	öğrenci memnun
o olay onun hayatını değiştirdi	o olay onun hayat değiştirmek
sağlığım iyiydi	benim sağlık iyi
o tekrar sordu	o tekrar sormak
senin bisikletin mi	senin bisiklet ?
o da bir baba	o bir baba
telefonum nerede	benim telefon nerede ?
pembe bir arabam var	benim pembe bir araba var
hiçbir makine senin yerini alamaz	hiç makine senin yer almak değil
arkadaşımın çocukları çok fazla kitap sattılar	benim arkadaş onun çocuk onlar çok fazla kitap satmak
bugün daha iyiydi	bugün daha iyi
bir bira almaya gidelim	biz bir bira almak gitmek
ne demek istediğimi biliyor	o bilmek ben ne istemek
kız kardeşimin çok arkadaşı var	benim kız kardeş onun çok arkadaş var
yemek yapmayı öğrendim	ben yemek yapmak öğrenmek
arabaya benzin koydum	ben araba benzin koymak
kendi arabasında yaşar	o kendi araba orada yaşamak
konuşmaya başladım	ben konuşmak başlamak
kapıyı kapat	sen kapı kapatmak
tüm hafta sonu yağmur yağdı	tüm hafta_sonu yağmur yağmak
bunu düşünmek istemiyordum	ben bu düşünmek istemek değil
annem kızgın	benim anne kızgın
ona oy verdim	ben ona oy_vermek
sen futbol maçı izlemeyi seviyorsun	sen futbol maç izlemek sevmek
basketbol izlemeyi severim	ben basketbol izlemek sevmek
ben düşündüğümden daha hastayım	ben benim düşünmek daha hasta
hepsi yanlış	hepsi yanlış
öğle yemeği hazırlayacağım	ben benim öğle yemek hazırlamak
o bir film yıldızı	o bir film yıldız
ben buradan nasıl çıkacağım	ben burada nasıl çıkmak ?
neden olmadığını sorabilir miyim	ben neden olmak değil sormak ?
bu kitabı okumak istiyorum	ben bu kitap okumak istemek
sadece bekle	sen sadece beklemek
onların fiyatı bizimkinin altındadır	onların fiyat bizim altında
ben paketi henüz göndermedim	ben paket henüz göndermek değil
gidiyor musun	sen gitmek ?
o sağ elinde bir şey tutuyordu	o onun sağ el bir şey tutmak
düşündüğünden daha çok biliyorsun	sen senin düşünmek daha çok bilmek
o bir paspas ile temizliyor	o bir paspas ile temizlemek
öğretmenler de hata yapar	öğretmen hata yapmak
o haberleri izlerken oturma odasındadır	o haber izlemek oturma_odası
profesör biraz gülümsedi	profesör biraz gülümsemek
siz hemen dönüyorsunuz	siz hemen dönmek
kalktım ve pencereye doğru yürüdüm	ben kalkmak ve pencere doğru yürümek
kız erkeği seviyor	kız erkek sevmek
çok sayıda köpek yaşamaktadır	çok sayı köpek yaşamak
o oldu	o olmak
okul sıkıcıdır	okul sıkıcı
tv izlemek eğlenceli	televizyon izlemek eğlence
geri dönerken bir şey alır mısın	sen geri dönmek bir_şey almak ?
adama ömür boyu hapis cezası verildi	adam ömür_boyu hapis ceza_vermek
onu gördün mü	sen görmek o ?
paten yapmayı seviyorum	ben paten yapmak sevmek
zor bir zaman geçirdim	ben zor bir zaman_geçirmek
ağladı mı	o ağlamak ?
soruların hepsini cevaplayamadım	ben soru onlar hepsi cevaplamak değil
ben filmi beğendim	ben film beğenmek
daha önce onu gördükten sonra onu tanıdım	ben daha önce o görmek sonra tanımak
parayı çal	sen para çalmak
onu yarın arayın	siz o yarın aramak
onun tatile ihtiyacı var	onun tatil ihtiyaç var
gerçekten kaç yaşındasın	gerçek sen kaç yaş ?
ne dedi	o ne demek ?
onlar birlikte gittiler	onlar birlikte gitmek
sen de onu gördün	sen görmek o
birçok ağaç kesildi	birçok ağaç kesilmek
senin aradığın anahtar bu mudur	senin aramak anahtar bu ?
benim ailem de burada oturuyor	benim aile burada oturmak
o çok şey biliyordu	o çok şey bilmek
anne babam orada yaşıyorlar	benim anne baba orada yaşamak
onlar ne dedi	onlar ne demek ?
yap onu	sen yapmak o
hepiniz buraya nasıl geldiniz	siz hepiniz buraya nasıl gelmek ?
istediğini yaptık	sen istemek biz yapmak
onu aileme okurum	ben benim aile okumak
o öğle yemeği için bize katılmadı	o öğle yemek için bize katılmak değil
amcam bir araba sürer	benim amca bir araba sürmek
o geri geldiğinde gideceğim	o geri gelmek ben gitmek
kötü kitaplar sana zarar verecek	kötü kitap sana zarar_vermek
nasıl olduğumu biliyorum	ben onun nasıl olmak bilmek
o birisini bekliyor	o biri beklemek
onlar bozuk televizyonu yenisiyle değiştirdiler	onlar bozuk televizyon yeni ile değiştirmek
arkadaşlarımla alışveriş merkezine gittim	ben benim arkadaş ile alışveriş_merkezi gitmek
bir seçim yapmalısın	sen bir seçim yapmak
ben evcil hayvanları severim	ben evcil_hayvan onlar sevmek
yardım edebiliriz	biz yardım_etmek
bu filmi sevmiyorum	ben bu film sevmek değil
ben sigara içmeyen biriyim	ben sigara_içmek değil biri
gülümsemeye devam et	sen gülümsemek devam_etmek
hiç kardeşim yok	benim hiç kardeş yok
o önemli bir kimse	o önemli bir kimse
onun iyi olacağını umuyorum	ben düşünmek o iyi olmak
o sobada kendini ısıttı	o soba kendi ısıtmak
buna sahip olmanı isterdi	o istemek sen bu sahip olmak
bu daha ucuz	bu daha ucuz
seni nasıl da özledim	ben sen nasıl özlemek ?
sorunlarım var	benim sorun var
olduğum yerde kalmalıyım	ben benim olmak yer orada kalmak
ayrılmak istiyor musun	sen ayrılmak istemek ?
biz haber aldık	biz haber_almak
ona kim söyledi	ona kim söylemek ?
arkadaşım bir anne	benim arkadaş bir anne
oraya otobüsle gitmedim	ben oraya otobüs ile gitmek değil
ne demek istediğimi biliyor musunuz	siz bilmek ben ne demek istemek ?
bütün aile oradaydı	bütün aile orada olmak
biz sonunda anahtarı bulduk	biz nihayet anahtar bulmak
dün biz beyzbol oynadık	dün biz beyzbol oynamak
cüzdanını masaya koydu	o cüzdan masa üzerine koymak
bir şey yapmıyor musun	sen bir_şey yapmak değil ?
telefonumu geri istiyorum	ben benim telefon geri istemek
geç kaldın	sen geç_kalmak
ben önceden aradım	ben önce aramak
onu bekliyorum	ben o beklemek
o ne zaman gelecek	o ne_zaman gelmek ?
her zaman arayın	her zaman aramak
çok para kazanırım	ben çok para kazanmak
ben para istedim	ben para istemek
bu yemek	bu yemek
burada olacağını söyledi	o burada olmak söylemek
bugün babamla birlikte miydin	sen bugün benim baba ile birlikte ?
burada	o burada
o merakla izledi	o merak ile izlemek
sebebini sordum	ben onun sebep sormak
çocukların sevgiye ihtiyacı var	çocuk x2 sevmek ihtiyaç var
orada ne yaptıklarını biliyoruz	biz onlar orada ne yapmak bilmek
gel ve beni gör	sen gelmek ve ben görmek
